"interval","iso2","N"
1.0,"AO",160
0.6975308641975309,"BF",162
0.7046632124352331,"BI",772
1.0,"BJ",449
1.0,"BW",161
0.962736089841756,"CD",1959
0.0,"CF",2
0.0,"CG",1
0.9882629107981221,"CI",1278
0.5067567567567568,"CM",592
1.0,"CV",16
0.1111111111111111,"EG",18
1.0,"ER",386
0.546875,"ET",640
0.9893992932862191,"GA",283
1.0,"GH",95
0.9976851851851852,"GM",432
0.39351851851851855,"GN",216
0.5170454545454546,"GW",176
0.8236074270557029,"KE",1508
0.9819367787255394,"LR",1993
1.0,"LS",50
0.7484143763213531,"MG",473
0.8403041825095057,"ML",263
0.9271523178807947,"MR",151
1.0,"MU",49
0.72265625,"MW",1024
0.5077881619937694,"MZ",321
0.8050490883590463,"NE",713
0.8445626477541371,"NG",3384
1.0,"RW",445
0.8571428571428571,"SC",7
1.0,"SD",1
0.6666666666666666,"SL",171
0.7816091954022989,"SN",174
0.0,"SO",11
0.7568807339449541,"SS",436
0.7009345794392523,"ST",107
0.9963898916967509,"SZ",277
0.960093896713615,"TD",426
0.9995454545454545,"TG",2200
0.550597609561753,"TZ",1255
0.8671366594360087,"UG",1844
0.5249266862170088,"ZA",341
0.9956293706293706,"ZM",1144
0.48376068376068376,"ZW",585
0.44966442953020136,"ZZ",149
