"iso2","N","hk_missing","asc_missing","tt_missing","hk_missing_fraction","asc_missing_fraction","tt_missing_fraction"
"AO",160,0,1,0,0.0,0.00625,0.0
"BF",162,0,4,74,0.0,0.024691358024691357,0.4567901234567901
"BI",772,0,0,0,0.0,0.0,0.0
"BJ",449,376,370,365,0.8374164810690423,0.8240534521158129,0.8129175946547884
"BW",161,0,0,0,0.0,0.0,0.0
"CD",1959,46,0,0,0.02348136804492088,0.0,0.0
"CF",2,0,0,1,0.0,0.0,0.5
"CG",1,0,1,1,0.0,1.0,1.0
"CI",1278,3,3,4,0.002347417840375587,0.002347417840375587,0.003129890453834116
"CM",592,5,9,10,0.008445945945945946,0.015202702702702704,0.016891891891891893
"CV",16,7,7,7,0.4375,0.4375,0.4375
"EG",18,2,0,4,0.1111111111111111,0.0,0.2222222222222222
"ER",386,0,0,0,0.0,0.0,0.0
"ET",640,41,84,85,0.0640625,0.13125,0.1328125
"GA",283,0,0,0,0.0,0.0,0.0
"GH",95,1,17,17,0.010526315789473684,0.17894736842105263,0.17894736842105263
"GM",432,177,177,177,0.4097222222222222,0.4097222222222222,0.4097222222222222
"GN",216,0,0,0,0.0,0.0,0.0
"GW",176,58,56,56,0.32954545454545453,0.3181818181818182,0.3181818181818182
"KE",1508,35,33,93,0.023209549071618037,0.021883289124668436,0.0616710875331565
"LR",1993,2,2,3,0.0010035122930255895,0.0010035122930255895,0.0015052684395383843
"LS",50,0,0,0,0.0,0.0,0.0
"MG",473,2,3,5,0.004228329809725159,0.006342494714587738,0.010570824524312896
"ML",263,0,4,4,0.0,0.015209125475285171,0.015209125475285171
"MR",151,52,52,52,0.3443708609271523,0.3443708609271523,0.3443708609271523
"MU",49,0,0,0,0.0,0.0,0.0
"MW",1024,1,8,4,0.0009765625,0.0078125,0.00390625
"MZ",321,316,318,319,0.9844236760124611,0.9906542056074766,0.9937694704049844
"NE",713,10,0,2,0.014025245441795231,0.0,0.002805049088359046
"NG",3384,32,36,96,0.009456264775413711,0.010638297872340425,0.028368794326241134
"RW",445,134,0,135,0.30112359550561796,0.0,0.30337078651685395
"SC",7,0,0,0,0.0,0.0,0.0
"SD",1,0,0,0,0.0,0.0,0.0
"SL",171,0,0,0,0.0,0.0,0.0
"SN",174,35,32,32,0.20114942528735633,0.1839080459770115,0.1839080459770115
"SO",11,0,0,0,0.0,0.0,0.0
"SS",436,0,0,0,0.0,0.0,0.0
"ST",107,0,0,0,0.0,0.0,0.0
"SZ",277,0,0,0,0.0,0.0,0.0
"TD",426,2,0,3,0.004694835680751174,0.0,0.007042253521126761
"TG",2200,0,0,0,0.0,0.0,0.0
"TZ",1255,2,9,11,0.0015936254980079682,0.007171314741035857,0.008764940239043825
"UG",1844,66,76,76,0.03579175704989154,0.04121475054229935,0.04121475054229935
"ZA",341,48,0,0,0.14076246334310852,0.0,0.0
"ZM",1144,1,0,10,0.0008741258741258741,0.0,0.008741258741258742
"ZW",585,558,561,579,0.9538461538461539,0.958974358974359,0.9897435897435898
"ZZ",149,0,0,0,0.0,0.0,0.0
